Advertised,AdvertisedLocationName,AdvertisedShortLocationName,PrimaryLocationCode,CountryCode,CountyNo,Deleted,LocationSignature,Prognosticated,OfficialLocationName,Geometry.SWEREF99TM,Geometry.WGS84
True,Lindome,Lindome,2411,SE,[14],False,Ldo,True,Lindome,POINT (325322 6385270),POINT (12.07872881104238 57.576030234580344)
True,Luleå,Luleå,2480,SE,[25],False,Le,True,Luleå,POINT (829942 7292372),POINT (22.165607456810445 65.5840859245109)
True,Lödöse Södra,Lödöse Södra,10343,SE,[14],False,Les,True,Lödöse Södra,POINT (332521 6433853),POINT (12.164954927016302 58.014616199040184)
True,Läggesta,Läggesta,2650,SE,[4],False,Lg,True,Läggesta,POINT (623710 6569630),POINT (17.169099164601796 59.24754847713904)
True,Linghem,Linghem,2420,SE,[5],False,Lgm,True,Linghem,POINT (545842 6477552),POINT (15.785130817234167 58.43628121707231)
True,Lammhult,Lammhult,2292,SE,[7],False,Lh,True,Lammhult,POINT (474943 6336592),POINT (14.585611224674281 57.17185120327815)
True,Liseberg,Liseberg,2428,SE,[14],False,Lis,True,Liseberg,POINT (321028 6399222),POINT (11.996703846266206 57.69950382786189)
True,Ljungskile,Ljungskile,2443,SE,[14],False,Lj,True,Ljungskile,POINT (319184 6457866),POINT (11.92101152674327 58.22476363594533)
True,Ljung,Ljung,2432,SE,[14],False,Lju,True,Ljung,POINT (384899 6428860),POINT (13.053311244680973 57.98645155653827)
True,Lidköping,Lidköping,2352,SE,[14],False,Lkp,True,Lidköping,POINT (393078 6486328),POINT (13.16509727928743 58.50439218417674)
True,Landskrona,Landskrona,2300,SE,[12],False,Lkö,True,Landskrona Östra,POINT (365963 6194698),POINT (12.857361709696729 55.879090391773325)
True,Limmared,Limmared,2396,SE,[14],False,Lme,True,Limmared,POINT (401424 6378024),POINT (13.353545119361378 57.53398233842563)
True,Lessebo,Lessebo,2341,SE,[7],False,Lo,True,Lessebo,POINT (515810 6289650),POINT (15.258529169669195 56.75056169168257)
True,Linköping C,Linköping,2421,SE,[5],False,Lp,True,Linköpings central,POINT (536474 6475311),POINT (15.624342190385477 58.4170369817451)
True,Lerum,Lerum,2336,SE,[14],False,Lr,True,Lerum,POINT (337789 6406304),POINT (12.272803970857407 57.76940162823193)
True,Landeryd,Landeryd,2297,SE,[13],False,Lrd,True,Landeryd,POINT (394862 6327263),POINT (13.265593756211672 57.07672896468214)
True,Ljusdal,Ljusdal,2444,SE,[21],False,Ls,True,Ljusdal,POINT (557756 6855374),POINT (16.096509739977524 61.82680948592414)
True,Leksand,Leksand,2325,SE,[20],False,Lsd,True,Leksand,POINT (500164 6733163),POINT (15.003007107004047 60.73403002213013)
True,Lund C,Lund,2485,SE,[12],False,Lu,True,Lund c,POINT (386054 6174988),POINT (13.186572702646671 55.70724957943727)
True,Lycksele,Lycksele,2502,SE,[24],False,Ly,True,Lycksele,POINT (675551 7168317),POINT (18.66877423919453 64.59426716955433)
